22;JBS Mental Health Authority;940 Montclair Road;Suite 200;Birmingham, AL 35213;(205) 595-4555;;;;
23;JBS Mental Health Authority;Day Treatment Program;3600 4th Avenue South;Birmingham, AL 35222;(205) 322-7335;Intake: (205) 595-4555;;;
24;Princeton Baptist Medical Center;701 Princeton Avenue SW;Birmingham, AL 35211;(205) 783-3650;;;;;
25;Rehabilitation Day Program;Jasper House;2112 Avenue H;Suite B;Birmingham, AL 35218;(205) 324-9822x9021;Intake: (205) 780-6050;;
26;Resident Care Home Specialized Behav;JASPER House;2112 Avenue H;Suite B;Birmingham, AL 35218;(205) 324-9822x9021;Intakes: (205) 324-9822x9020 (205) 324-;9822x8185;
27;UAB Community Psychiatry Program;908 20th Street South;CCB, 4th Floor;Birmingham, AL 35294;(205) 934-4108;Intake: (205) 934-7008;;;
28;UAB Department of Psychiatry;Center for Psychiatric Med;1713 6th Avenue South;Birmingham, AL 35294;(205) 934-6054;Intake: (205) 934-7008;;;
29;UAB Engel Day Treatment Ctr;930 20th Street South;Birmingham, AL 35294;(205) 975-4537;Intake: (205) 975-4537x0;;;;
30;UAB Hospital;Center for Psychiatric Medicine;619 19th Street South;Birmingham, AL 35249;(205) 975-2710;Intake: (205) 934-7008;;;
31;Western Mental Health Center Inc;1701 Avenue D;Birmingham, AL 35218;(205) 788-7770x246;Intake: (205) 788-7770;;;;
32;West Alabama Mental Health Center;Choctaw County Office;401 Rogers Street;Butler, AL 36904;(205) 459-2612;Intakes: (800) 239-2901 (334) 289-2410;;;
33;Hamilton Center;151 Hamilton Lane;Calera, AL 35040;(205) 668-4308;;;;;
34;Cahaba Center for Mental Health;Wilcox County Satellite;45 Camden Bypass;Camden, AL 36726;(334) 682-4499;Intakes: (334) 875-2100 (334) 683-4499;;;
35;Pickens County Medical Center;241 Robert K Wilson Drive;Carrollton, AL 35447;(205) 367-2465;Intake: (205) 367-8111x307;;;;
36;Pickens County Satellite;Indian Rivers Mental Health Center;140 Courthouse Square East;Carrollton, AL 35447;(205) 367-8159;Intake: (205) 391-3131;;;
37;Cherokee Etowah Dekalb CMHC;Cherokee County Office;200 Dean Buttram Avenue;Centre, AL 35960;(256) 927-3601;;;;
38;Cherokee Etowah Dekalb CMHC;White/Parker Home Specialized;901 Edith Street;Centre, AL 35960;(256) 927-2687;Intake: (256) 492-7800;;;
39;AltaPointe Health Systems Inc;Community Counseling/Washington;County;1812 Dixie Youth Drive;Chatom, AL 36518;(251) 847-2301;Intake: (251) 450-2211;;
40;Clanton MI Outpatient;110 Medical Center Drive;Clanton, AL 35045;(205) 755-5933;;;;;
41;Magnolia Creek Treatment Center for Women;645 Crenshaw Road;Columbiana, AL 35051;(205) 678-4373;Intake: (800) 494-4213;;;;
42;Mental Healthcare of Cullman;1909 Commerce Avenue;Cullman, AL 35055;(256) 734-4688;Intake: (256) 255-1020;;;;
43;East Pointe Hospital;7400 Roper Lane;Daphne, AL 36526;(251) 378-6500;;;;;
44;MHCNCA Inc;Decatur/Morgan Counseling Center;4110 U.S. Highway 31 South;Decatur, AL 35603;(256) 260-1691;Intake: (256) 355-6091;;;
45;Mental Health Center of NCA Inc;The Albany Clinic for Children;1315 13th Avenue SE;Decatur, AL 35601;(256) 350-1935;Intakes: (256) 355-5904 (256) 355-6091;;;
46;Bryan W Whitfield Memorial Hosp;Tombigbee Healthcare Authority;105 U.S. Highway 80 East;Demopolis, AL 36732;(334) 289-4000;Intakes: (334) 287-2806 (334) 287-2805;;;
47;West Alabama Mental Health Center;1215 South Walnut Avenue;Demopolis, AL 36732;(334) 289-2410;Intake: (800) 239-2901;;;;
48;West Alabama Mental Health Center;1401 U.S. Highway 80 East;Demopolis, AL 36732;(334) 217-0010;Intakes: (800) 239-2901 (334) 289-2410;;;;
49;West Alabama Mental Health Center;Springhill Home;1304 Old Springhill Road;Demopolis, AL 36732;(334) 289-3270;Intakes: (800) 239-2901 (334) 289-2410;;;
50;Laurel Oaks Behavioral Health Center;700 East Cottonwood Road;Dothan, AL 36301;(334) 794-7373x237;Intake: (334) 794-7373x1;;;;
51;Southeast Alabama Medical Center;Behavioral Medicine Center;1108 Ross Clark Circle;Dothan, AL 36301;(334) 793-8111x8977;Intakes: (334) 793-8800 (334) 793-8858;;;
52;SpectraCare;Houston County Day Treatment;134 Prevatt Road;Dothan, AL 36302;(334) 794-0731;;;;
53;Mountain Lakes Behavioral Healthcare;Sue Bolt Foster Home;4884 Alabama Highway 40;Dutton, AL 35744;(256) 228-6514;;;;
54;Mountain Lakes Residential Care Home;4886 Alabama Highway 40;Dutton, AL 35744;(256) 228-3361;;;;;
55;South Central Alabama CMHC;Coffee County Day Mental Health Clinic;2861 Neal Metcalf Road;Enterprise, AL 36330;(334) 347-0212;;;;
56;Medical Center Barbour;820 West Washington Street;Eufaula, AL 36027;(334) 688-7000;;;;;
57;SpectraCare;Barbour County Clinic;133 North Orange Avenue;Eufaula, AL 36027;(334) 687-2323;Intake: (334) 684-9615;;;
58;West Alabama Mental Health Center;Greene County Office;301 Prairie Avenue;Eutaw, AL 35462;(205) 372-3106;Intakes: (800) 239-2901 (334) 289-2410;;;
59;AltaPointe Health Systems Inc;372 Greeno Road South;Fairhope, AL 36532;(251) 928-2871;Intake: (251) 450-2211;;;;
60;Harbor at Thomas Hospital;750 Morphy Avenue;Fairhope, AL 36532;(251) 279-1119;;;;;
61;Eliza Coffee Memorial Hospital;Behavioral Health Center;205 Marengo Street;Florence, AL 35630;(256) 768-9128;;;;
62;Riverbend Center for Mental Health;635 West College Street;Florence, AL 35630;(256) 764-3431;;;;;
63;Cherokee Etowah Dekalb CMHC;Dekalb County Office;301 14th Street NW;Fort Payne, AL 35967;(256) 845-4571;;;;
64;DeKalb Regional Medical Center;200 Medical Center Drive SW;Fort Payne, AL 35968;(256) 845-3150x2725;Intake: (256) 997-2725;;;;
65;Frantz Therapeutic Residential Home;1038 McDuffie Street;Gadsden, AL 35904;(256) 543-2883;;;;;
66;Mountain View Hospital;3001 Scenic Highway;Gadsden, AL 35904;(256) 546-9265x2123;Intake: (256) 546-9265x2083;;;;
67;Riverview Regional Medical Center;Senior Heights;600 South 3rd Street;Gadsden, AL 35901;(256) 543-5700;Intake: (256) 543-5641;;;
68;SpectraCare;Geneva County Clinic;1203 West Maple Avenue;Geneva, AL 36340;(334) 684-9615;;;;
69;West Alabama Mental Health Center;Hale County Office;401 1st Street;Greensboro, AL 36744;(334) 624-4905;Intakes: (800) 239-2901 (334) 289-2410;;;
70;South Central Alabama CMHC;Butler County MH Center;185 Industrial Parkway;Greenville, AL 36037;(334) 382-2018;;;;
71;Southern Oaks;Grove Hill Memorial Hospital;295 South Jackson Street;Grove Hill, AL 36451;(251) 275-4922;Intake: (251) 275-4035;;;
72;Marshall Medical Center North;Behavioral Health Unit;8000 Al Highway 69;Guntersville, AL 35976;(256) 571-8722;Intake: (256) 571-8109;;;
73;Mountain Lakes Behavioral Healthcare;2409 Homer Clayton Drive;Guntersville, AL 35976;(256) 582-3203;Intake: (800) 209-0049;;;;
74;Northwest Alabama MHC;Winston County Office;71 Carraway Drive;Haleyville, AL 35565;(205) 486-4111;;;;
75;Montgomery Area MH Authority;Lowndes County Satellite Office;5 Academy Lane;Hayneville, AL 36040;(334) 279-7830x7501;Intake: (334) 279-7830;;;
76;Highland Health Systems;Outpatient Satellite;150 Tompkins Street;Heflin, AL 36264;(256) 463-2969;;;;
77;Behavioral Healthcare Center at;Huntsville;5315 Millennium Drive NW;Huntsville, AL 35806;(256) 964-6700;;;;
78;Birmingham VAMC;Huntsville Clinic;301 Governors Drive SW;Huntsville, AL 35801;(256) 535-3100;;;;
79;Crestwood Medical Center;Behavioral Health Services;1 Hospital Drive SW;Huntsville, AL 35801;(256) 429-5480;;;;
80;Crisis Residential Center;3911 Triana Boulevard SW;Suite A;Huntsville, AL 35805;(256) 217-9958x35;Intake: (256) 217-9958;;;
81;Huntsville Hospital;101 Sivley SW Road;Huntsville, AL 35801;(256) 265-8123;;;;;
82;WellStone Behavioral Health;4040 Memorial Parkway SW;Huntsville, AL 35802;(256) 533-1970;Intake: (256) 705-6444;;;;
83;Highland Health Systems;Jacksonville Mental Health;614 Pelham Road South;Jacksonville, AL 36265;(256) 435-5502;;;;
84;Regional Medical Center/Jacksonville;1701 Pelham Road South;P.O. Box 999;Jacksonville, AL 36265;(256) 435-4970;Intakes: (256) 435-4970x450 (256) 435-;4970x451;;
85;Child and Adolescent and Adult;Outpatient Clay County;88217 Highway 9;Lineville, AL 36266;(256) 396-2150;;;;
86;West Alabama Mental Health Center;Sumter County Office;1121 North Washington Street;Livingston, AL 35470;(205) 652-6731;Intakes: (800) 239-2901 (334) 289-2410;;;
87;Beacon Childrens Hospital;150 Hospital Drive;Luverne, AL 36049;(334) 335-5040;;;;;
88;Crenshaw Community Hospital;Special Sevices Unit;101 Hospital Circle;Luverne, AL 36049;(334) 335-1175;Intake: (334) 335-1137;;;
89;South Central Alabama CMHC;Crenshaw County Mental Health Clinic;587 Bentley Avenue;Luverne, AL 36049;(334) 335-5201;;;;
90;Cahaba Center for Mental Health;Perry County Satellite;104 Edwards Street;Marion, AL 36756;(334) 683-9957;Intake: (334) 875-2100;;;
91;AltaPointe Health Systems Inc;BayPointe Hospital;5800 Southland Drive;Mobile, AL 36693;(251) 661-0153;Intake: (251) 450-2211;;;
92;AltaPointe Health Systems Inc;Zeigler Outpatient;7280 Sellers Lane;Mobile, AL 36608;(251) 776-1930;Intake: (251) 450-2211;;;
93;AltaPointe Health Systems Inc;AltaPointe Medication Assisted Trt;4211 Government Boulevard;Mobile, AL 36693;(251) 666-2569;Intakes: (251) 666-2569x0 (251) 450-2211;;;
94;Gardenia CRF;630 Zeigler Circle East;Mobile, AL 36608;(251) 639-2327;Intake: (251) 450-2211;;;;
95;Gulf Coast VAMC;VA Outpatient Clinic;1504 Spring Hill Avenue;Mobile, AL 36604;(251) 219-3900x3942;Intake: (251) 219-3900x33723;;;
96;Baptist Medical Center South;Crossbridge Behavioral Health;4385 Narrow Lane Road;Montgomery, AL 36116;(334) 286-5360;;;;
97;Jackson Hospital;Montgomery County Assessment Center;917 Olive Street;Montgomery, AL 36106;(334) 239-9103;Intake: (334) 279-7830;;;
98;Montgomery Area MH Authority;2140 Upper Wetumpka Road;Montgomery, AL 36107;(334) 279-7830;;;;;
99;Montgomery Area MH Authority;Child and Adolescent Center;112 Coliseum Boulevard;Montgomery, AL 36109;(334) 279-7830;;;;
100;Montgomery Area MH Authority;Crisis Residential Care Unit;3948 Beth Manor Drive;Montgomery, AL 36109;(334) 279-7830x7621;Intake: (334) 279-7830;;;
101;SafetyNet Academy;SafetyNet Montgomery;5906 Carmichael Place;Montgomery, AL 36117;(334) 277-1334;;;;
102;Lawrence County;Adult CM;295 Hospital Street;Moulton, AL 35650;(256) 260-7322;Intake: (256) 355-5904;;;
103;Lawrence County;Adult Outpatient;295 Hospital Street;Moulton, AL 35650;(256) 974-6697;Intake: (256) 355-5904;;;
104;Lawrence County;Child and Adol CM/Hourly Services;295 Hospital Street;Moulton, AL 35650;(256) 974-6697;Intakes: (256) 355-5904 (800) 365-6008;;;
105;MHCNCA Inc;Moulton Lawrence Counseling Center;317 Hospital Street;Moulton, AL 35650;(256) 974-6697;Intake: (256) 355-5904;;;
106;Shoals Senior Care;201 Avalon Avenue;Muscle Shoals, AL 35661;(256) 386-1667;;;;;
107;Northport Medical Center;North Harbor Psych Pavillion;2700 Hospital Drive;Northport, AL 35476;(205) 330-3102;;;;
108;Blount County CMHC;1002 2nd Avenue East;Suite A;Oneonta, AL 35121;(205) 625-3882;;;;
109;East Alabama Medical Center;Department of Psychiatric Medicine;2000 Pepperell Parkway;Opelika, AL 36801;(334) 749-3411;;;;
110;Grand View Behavioral Health;2123 Executive Park Drive;Opelika, AL 36801;(334) 745-6125;;;;;
111;Waverly Residential Care Home;East Alabama Mental Health;2401 Waverly Parkway;Opelika, AL 36801;(334) 742-2108;Intakes: (334) 742-2877 (334) 742-2821;;;
112;Mizell Memorial Hospital;Senior Care Behavioral Unit;702 Main Street;Opp, AL 36467;(334) 493-9134;;;;
113;Birmingham VAMC;Anniston Oxford Clinic;96 Ali Way Creekside Street;Oxford, AL 36203;(256) 832-4141;Intake: (256) 832-4142;;;
114;Dale Medical Center;New Day Psychiatric Unit;126 Hospital Avenue;Ozark, AL 36360;(334) 774-7352;Intake: (334) 774-2601x1090;;;
115;SpectraCare;Dale County/Clinic and Day Treatment;134 Katherine Avenue;Ozark, AL 36360;(800) 951-4357;Intake: (334) 794-0731;;;
116;Chilton Shelby MHC;2100 County Services Drive;Pelham, AL 35124;(205) 663-1252;;;;;
117;Family/Youth Intervention Junior;Family and Youth Intervention Programs;2280 Highway 35;Pelham, AL 35124;(205) 682-6186;Intake: (205) 663-1252;;;
118;Saint Clair County CMHC;625 15th Street North;Pell City, AL 35125;(205) 338-7525;;;;;
119;Montgomery Area MH Authority;Autauga County Satellite Office;698 Commerce Court;Suite C;Prattville, AL 36066;(334) 279-7830x7401;Intake: (334) 279-7830;;
120;Randolph County Satellite Office;AltaPointe Sylacauga Region;706 Main Street;Roanoke, AL 36274;(334) 863-2518;;;;
121;Riverbend Center for Mental Health;205 Jackson Avenue South;Russellville, AL 35653;(256) 332-3971;Intake: (256) 764-3431;;;;
122;SpectraCare;Geneva County Day Treatment;10386 West State Highway 52;Samson, AL 36477;(334) 898-7423;Intake: (334) 794-0731;;;
123;Mountain Lakes Behavioral Healthcare;Jackson County Office;508 Gregory Street;Scottsboro, AL 35768;(256) 259-1774;;;;
124;Cahaba Center for Mental Health;Annex;417 Medical Center Parkway;Selma, AL 36701;(334) 875-6068;Intake: (334) 875-2100;;;
125;Cahaba Center for Mental Health;Cahaba Place;2990 Earl Goodwin Parkway;Selma, AL 36701;(334) 418-6527;Intake: (334) 875-2100;;;
126;Cahaba Center for Mental Health;Reynolds Building;1017 Medical Center Parkway;Selma, AL 36701;(334) 875-2100;;;;
127;Altapointe Health Systems Inc;Sylacauga Outpatient Office;1661 Old Birmingham Highway;Sylacauga, AL 35150;(256) 245-2201;;;;
128;Coosa Valley Senior Behavioral;315 West Hickory Street;Sylacauga, AL 35150;(256) 401-4670;;;;;
129;Hillwood Home;210 North Elm Avenue;Sylacauga, AL 35150;(256) 245-6984;;;;;
130;Citizens Baptist Medical Center;Bradford Health Services;604 Stone Avenue;Talladega, AL 35160;(256) 761-4503;;;;
131;Community Hospital;805 Friendship Road;Tallassee, AL 36078;(334) 283-6541x3870;Intake: (334) 283-6541x3859;;;;
132;Brewer/Porch Childrens Center;University of Alabama;2501 Woodland Road;Tuscaloosa, AL 35404;(205) 348-7236;;;;
133;Bryce Hospital;1651 Ruby Tyler Parkway;Tuscaloosa, AL 35404;(205) 507-8000;;;;;
134;Indian Rivers Mental Health Center;2209 9th Street;Tuscaloosa, AL 35401;(205) 391-3131x1043;Intake: (205) 391-3131;;;;
135;Mary Starke Harper;Geriatric Psychiatry Center;107 5th Avenue East;Tuscaloosa, AL 35401;(205) 366-3010x3013;;;;
136;SpectraCare;Houston County/Rehab Day Program;6154 Old Webb Road;Webb, AL 36376;(334) 678-7162;Intake: (334) 794-0731;;;
137;Montgomery Area MH Authority;Hillside Mental Health Center;8721 U.S. Highway 231;Wetumpka, AL 36092;(334) 279-7830x7601;Intake: (334) 279-7830;;;
138;Altapointe Health Systems Inc;Lott Transitional Age CRF;8065 Lott Road;Wilmer, AL 36587;(251) 645-3738;Intake: (251) 450-2211;;;
139;Northwest Medical Center;1530 U.S. Highway 43;Winfield, AL 35594;(205) 487-7916;Intake: (205) 412-6791;;;;
140;AK Child and Family;1920 East 24th Avenue;Anchorage, AK 99508;(907) 346-2101;;;;;
141;AK Child and Family;4600 Abbott Road;Anchorage, AK 99507;(907) 346-2101;;;;;
142;Akeela Inc;360 West Benson Boulevard;Suite 300;Anchorage, AK 99503;(907) 433-7080;;;;
143;Alaska Native Medical Center;4320 Diplomacy Drive;Anchorage, AK 99508;(907) 729-2500;;;;;
144;Aleutian Pribilof Islands Association;1131 East International Airport Road;Anchorage, AK 99518;(907) 276-2700;Intake: (800) 478-2742;;;;
145;Anchorage Comm Mental Health Services;1432 Ingra Street;Anchorage, AK 99501;(907) 562-7900;;;;;
146;Arc of Anchorage;2211 Arca Drive;Anchorage, AK 99508;(907) 277-6677;Intake: (907) 277-6677x163;;;;
147;Chris Kyle Patriots Hospital;1650 Bragaw Street;Anchorage, AK 99508;(907) 272-6206;Intakes: (907) 258-7575 (800) 478-7575;;;;
148;Denali Cove Counseling Center;1565 Bragaw Street;Suite 201;Anchorage, AK 99508;(907) 222-2436;;;;
149;N40 N65;Denali Family Services;1251 Muldoon Road;Suite 116;Anchorage, AK 99504;(907) 274-8281;Intake: (907) 222-2321;;
150;Denali Family Services;6401 A Street;Anchorage, AK 99518;(907) 274-8281;Intake: (907) 222-2321;;;;
151;Good Samaritan Psychiatric Services;2741 DeBarr Road;Suite C-405;Anchorage, AK 99508;(907) 565-4000;;;;
152;Greatland Clinical Associates LLC;1400 West Benson Boulevard;Suite 315;Anchorage, AK 99503;(907) 929-4009;;;;
153;Hope Community Resources;540 West International Airport Road;Suite 100;Anchorage, AK 99518;(907) 561-5335;Intakes: (800) 478-4893 (907) 433-4800;;;
154;North Star DeBarr Hospital;2530 DeBarr Road;Anchorage, AK 99508;(907) 258-7575;Intakes: (907) 258-7575x3506 (800) 478-;7575;;;
155;North Star DeBarr RTC;1500 Debarr Circle;Anchorage, AK 99508;(907) 865-7100;Intake: (907) 264-7320;;;;
156;Providence Adolescent;Residential Treatment Center;3210 West 62nd Avenue;Anchorage, AK 99502;(907) 212-2040;;;;
157;Providence Alaska Medical Center;Behavioral Health/4W;3200 Providence Drive;Anchorage, AK 99519;(907) 212-3007;Intake: (907) 212-3090;;;
158;Providence Health and Servs/Washington;DBA Providence Behavioral Medicine;3760 Piper Street;Suite 1108;Anchorage, AK 99508;(907) 212-6900;;;
159;Gathering Place;5326 Laura Madison Street;Barrow, AK 99723;(907) 852-0402;Intake: (907) 852-0366;;;;
160;Matsutani Community Resource Center;1402 Nachik Street;Barrow, AK 99723;(907) 852-0288;Intake: (907) 852-0366;;;;
162;McCann Treatment Center;5016 Noel Polty Boulevard;Bethel, AK 99559;(907) 543-6800;;;;;
163;Yukon Kuskokwim Health Corporation;829 Eddie Hoffman Highway;Bethel, AK 99559;(907) 543-6100;Intake: (907) 543-6758;;;;
164;Copper River Native Association;Mile 111.5 Old Richardson Highway;Copper Center, AK 99573;(907) 822-5241x254;Intake: (907) 822-5241;;;;
165;Sound Alternatives;Cordova Community Medical Clinic;602 Chase Avenue;Cordova, AK 99574;(907) 424-8300;;;;
166;Family Centered Services of Alaska;1825 Marika Road;Fairbanks, AK 99709;(907) 474-0890;;;;;
167;Family Centered Services of Alaska;3101 Lathrop Street;Fairbanks, AK 99701;(907) 459-4700;;;;;
168;Presbyterian Hospitality House;209 Forty Mile Avenue;Suite 100;Fairbanks, AK 99701;(907) 456-6445;;;;
169;Tanana Chiefs Conference;Behavioral Health;122 1st Avenue;Suite 600;Fairbanks, AK 99701;(907) 452-8251x3800;Intake: (907) 459-3800;;
170;Council of Athabascan Tribal Govt;101 Spruce Street;Fort Yukon, AK 99740;(907) 662-2587;Intake: (907) 662-2460;;;;
171;South Peninsula Behav Health Services;The Center;3948 Ben Walters Lane;Homer, AK 99603;(907) 235-7701;;;;
172;Juneau Alliance for Mental Health Inc;3406-A Glacier Highway;Juneau, AK 99801;(907) 463-3303;;;;;
173;Juneau Youth Services Inc;Cornerstone House;9290 Hurlock Avenue;Juneau, AK 99801;(907) 789-7610;Intakes: (907) 789-7654 (877) 597-4357;;;
174;Community Connections;1800 CK Highway;Suite 241;Craig, AK 99921;(907) 826-3891;;;;
175;Bristol Bay Area Health Corporation;6000 Kanakanak Road;Dillingham, AK 99576;(907) 842-5201;Intakes: (907) 842-1230 (800) 510-1230;;;;
176;Fairbanks Community Mental;Health Services;3830 Cushman Street;Fairbanks, AK 99701;(907) 371-1300;;;;
177;Fairbanks Memorial Hospital;Behavioral Health;1650 Cowles Street;Fairbanks, AK 99701;(907) 452-8181;;;;
178;Juneau Youth Services Inc;Light House;8460 Rainbow Row;Juneau, AK 99801;(907) 789-7610;Intakes: (907) 789-4733 (907) 523-6574;;;
179;Juneau Youth Services Inc;Miller House;10685 Mendenhall Loop Road;Juneau, AK 99801;(907) 789-7610;Intakes: (907) 789-4733 (907) 789-7654;;;
180;Juneau Youth Services Inc;Montana Creek;10801 Black Bear Road;Juneau, AK 99801;(907) 523-6770;Intakes: (907) 789-4733 (907) 789-7654;;;
181;Juneau Youth Services Inc;Montana Creek;2075 Jordan Avenue;Suite 101;Juneau, AK 99801;(907) 789-7610;Intakes: (907) 789-4733 (907) 789-7654;;
182;Juneau Youth Services Inc;Wallington House;2461 Oday Drive;Juneau, AK 99801;(907) 789-7610;Intakes: (907) 789-4733 (877) 597-4357;;;
183;National Council on Alc and Drug Dep;211 4th Street;Suite 102;Juneau, AK 99801;(907) 463-3755;;;;
184;SE Alaska Regional Health Consortium;Juneau Behavioral Health;1046 Salmon Creek Lane;Juneau, AK 99801;(907) 364-4445;;;;
185;Salmon Creek Lodge;3406 Glacier Highway;Building D;Juneau, AK 99801;(907) 463-6885;;;;
186;Timberline House;1962 Lemon Creek Road;Juneau, AK 99801;(907) 463-6880;Intake: (907) 463-3303;;;;
187;Kenai Peninsula Community Care Center;Dimmick Retreat;320 South Spruce Street;Kenai, AK 99611;(907) 283-7635;Intake: (907) 283-7619;;;
188;Kenai Peninsula Community Care Center;Hardy House;320 South Spruce Street;Kenai, AK 99611;(907) 283-7635;Intake: (907) 283-7619;;;
189;Kenai VA CBOC;11312 Kenai Spur Highway;Suite 39;Kenai, AK 99611;(907) 395-4100x4104;Intake: (907) 395-4100;;;
190;Kenaitze Indian Tribe;Denaina Wellness Center;508 Upland Street;Kenai, AK 99611;(907) 335-7500;Intake: (907) 335-7370x0;;;
192;Akeela Gateway Ctr for Human Services;3050 5th Avenue;Ketchikan, AK 99901;(907) 225-4135;;;;;
193;Community Connections;721 Stedman Street;Ketchikan, AK 99901;(907) 225-7825;;;;;
194;Gateway Center for Human Services;Akeela Inc;3050 Fifth Avenue;Ketchikan, AK 99901;(907) 225-4135;;;;
195;PeaceHealth Ketchikan Medical Center;3100 Tongass Avenue;Ketchikan, AK 99901;(907) 228-8300x7301;;;;;
196;King Cove CHC;100 Slocum Drive;King Cove, AK 99612;(907) 497-2311;;;;;
197;Kodiak Area Native Association;3449 East Rezenoff Drive;Kodiak, AK 99615;(907) 486-9800x1379;Intakes: (907) 486-9800 (907) 486-9812;;;;
198;Providence Kodiak Island;Counseling Center;717 East Rezanof Drive;Kodiak, AK 99615;(907) 481-2400;;;;
199;Maniilaq Association;Putyuk Childrens Home;572 Friends Way;Kotzebue, AK 99752;(907) 442-7581;Intake: (907) 442-7582;;;
200;Maniilaq Counseling and Recovery Ctr;733 2nd Avenue;Kotzebue, AK 99752;(907) 442-7640;Intake: (907) 442-7014;;;;
201;Ninilchik Traditional Council;15765 Kingsley Road;Ninilchik, AK 99639;(907) 567-3370;;;;;
202;Norton Sound Health Corporation;Behavioral Health Services;306 West 5th Avenue;Nome, AK 99762;(907) 443-3344;;;;
203;Co Occurring Disorders Institute Inc;11921 East Palmer Wasilla Highway;Palmer, AK 99645;(907) 745-2634;;;;;
204;Daybreak Inc;550 South Alaska Street;Suite 202;Palmer, AK 99645;(907) 746-6019;;;;
205;North Star Palmer RTC;Summit Program;3647 North Clark Wolverine Road;Palmer, AK 99645;(907) 761-7400;Intake: (907) 761-7431;;;
206;Summit of North Star Behavioral Health;Mile 2.5 Clark Wolverine Road;Palmer, AK 99645;(907) 761-7403;;;;;
207;Petersburg Mental Health Services;201 North Nordic Drive;Petersburg, AK 99833;(907) 772-3332;;;;;
208;Eastern Aleutian Tribes Inc;172 Red Cove Road;Sand Point, AK 99661;(907) 383-3151x604;;;;;
209;Seaview Community Services;302 Railway Avenue;Seward, AK 99664;(907) 224-5257x1041;Intake: (907) 224-5257;;;;
210;NeuroBehavioral Consultants LLC;300 Harbor Drive;Sitka, AK 99835;(907) 747-3743;;;;;
211;Sitka Counseling and Prevention Servs;113 Metlakatla Street;Sitka, AK 99835;(907) 747-3636;;;;;
212;Youth Advocates of Sitka;805 Lincoln Street;Sitka, AK 99835;(907) 747-3687;Intake: (907) 747-2899;;;;
213;Youth Advocates of Sitka;School Based Services;805 Lincoln Street;Sitka, AK 99835;(907) 747-3687;;;;
214;Peninsula Comm Hlth Servs of Alaska;230 East Marydale Avenue;Soldotna, AK 99669;(907) 260-7300;Intake: (907) 260-3691;;;;
215;TCC Upper Tanana Behavioral Health;West C Street and Willow;Unit A;Tok, AK 99780;(907) 883-5107;Intake: (907) 883-5119;;;
216;Providence Valdez Counseling Center;911 Meals Avenue;Valdez, AK 99686;(907) 835-2838;;;;;
217;Denali Family Services;291 East Swanson Street;Wasilla, AK 99654;(907) 274-8281;Intake: (907) 222-2321;;;;
