,Name,City,State,Zip,Lat,Lon
26,West Alabama Mental Health Center,Butler,AL,36904,32.100587,-88.260758
27,Hamilton Center,Calera,AL,35040,33.102967,-86.728894
28,Cahaba Center for Mental Health,Camden,AL,36726,31.963626,-87.295936
29,Pickens County Medical Center,Carrollton,AL,35447,33.251868,-88.157754
30,Pickens County Satellite,Carrollton,AL,35447,33.251868,-88.157754
31,Cherokee Etowah Dekalb CMHC,Centre,AL,35960,34.124328000000006,-85.570557
32,Cherokee Etowah Dekalb CMHC,Centre,AL,35960,34.124328000000006,-85.570557
33,AltaPointe Health Systems Inc,Chatom,AL,36518,31.459303000000002,-88.28404
34,Clanton MI Outpatient,Clanton,AL,35045,32.799962,-86.676761
35,Magnolia Creek Treatment Center for Women,Columbiana,AL,35051,33.205032,-86.618915
36,Mental Healthcare of Cullman,Cullman,AL,35055,34.151121,-86.758808
37,East Pointe Hospital,Daphne,AL,36526,30.611152,-87.85991800000001
38,MHCNCA Inc,Decatur,AL,35603,34.535452,-86.971226
39,Mental Health Center of NCA Inc,Decatur,AL,35601,34.608016,-87.011052
40,Bryan W Whitfield Memorial Hosp,Demopolis,AL,36732,32.429314,-87.914179
41,West Alabama Mental Health Center,Demopolis,AL,36732,32.429314,-87.914179
42,West Alabama Mental Health Center,Demopolis,AL,36732,32.429314,-87.914179
43,West Alabama Mental Health Center,Demopolis,AL,36732,32.429314,-87.914179
44,Laurel Oaks Behavioral Health Center,Dothan,AL,36301,31.140065000000003,-85.398289
45,Southeast Alabama Medical Center,Dothan,AL,36301,31.140065000000003,-85.398289
46,Mountain Lakes Behavioral Healthcare,Dutton,AL,35744,34.610532,-85.909141
47,Mountain Lakes Residential Care Home,Dutton,AL,35744,34.610532,-85.909141
48,South Central Alabama CMHC,Enterprise,AL,36330,31.305932000000002,-85.86405400000001
49,Medical Center Barbour,Eufaula,AL,36027,32.060643,-85.116624
50,SpectraCare,Eufaula,AL,36027,32.060643,-85.116624
51,West Alabama Mental Health Center,Eutaw,AL,35462,32.920473,-87.967463
52,AltaPointe Health Systems Inc,Fairhope,AL,36532,30.480713,-87.861306
53,Harbor at Thomas Hospital,Fairhope,AL,36532,30.480713,-87.861306
54,Eliza Coffee Memorial Hospital,Florence,AL,35630,34.82298,-87.661652
55,Riverbend Center for Mental Health,Florence,AL,35630,34.82298,-87.661652
56,Cherokee Etowah Dekalb CMHC,Fort Payne,AL,35967,34.407663,-85.694569
57,DeKalb Regional Medical Center,Fort Payne,AL,35968,34.551097999999996,-85.738915
58,Frantz Therapeutic Residential Home,Gadsden,AL,35904,34.07056,-85.990098
59,Mountain View Hospital,Gadsden,AL,35904,34.07056,-85.990098
60,Riverview Regional Medical Center,Gadsden,AL,35901,34.049376,-85.934301
61,SpectraCare,Geneva,AL,36340,31.051671999999996,-85.89094300000001
62,West Alabama Mental Health Center,Greensboro,AL,36744,32.695952,-87.599716
63,South Central Alabama CMHC,Greenville,AL,36037,31.799009,-86.628615
64,Southern Oaks,Grove Hill,AL,36451,31.700516999999998,-87.803568
65,Marshall Medical Center North,Guntersville,AL,35976,34.345766999999995,-86.330025
66,Mountain Lakes Behavioral Healthcare,Guntersville,AL,35976,34.345766999999995,-86.330025
67,Northwest Alabama MHC,Haleyville,AL,35565,34.236959999999996,-87.563402
68,Montgomery Area MH Authority,Hayneville,AL,36040,32.173924,-86.684172
69,Highland Health Systems,Heflin,AL,36264,33.596783,-85.55148299999999
70,Behavioral Healthcare Center at,Huntsville,AL,35806,34.760774,-86.685762
71,Birmingham VAMC,Huntsville,AL,35801,34.725269,-86.560866
72,Crestwood Medical Center,Huntsville,AL,35801,34.725269,-86.560866
73,Huntsville Hospital,Huntsville,AL,35801,34.725269,-86.560866
74,Crisis Residential Center,Huntsville,AL,35805,34.709368,-86.62029
75,WellStone Behavioral Health,Huntsville,AL,35802,34.668212,-86.558882
76,Highland Health Systems,Jacksonville,AL,36265,33.847654999999996,-85.78491600000001
77,Regional Medical Center/Jacksonville,Jacksonville,AL,36265,33.847654999999996,-85.78491600000001
78,Child and Adolescent and Adult,Lineville,AL,36266,33.349846,-85.734316
79,West Alabama Mental Health Center,Livingston,AL,35470,32.561974,-88.066347
80,Beacon Childrens Hospital,Luverne,AL,36049,31.768143,-86.27725699999999
81,Crenshaw Community Hospital,Luverne,AL,36049,31.768143,-86.27725699999999
82,South Central Alabama CMHC,Luverne,AL,36049,31.768143,-86.27725699999999
83,Cahaba Center for Mental Health,Marion,AL,36756,32.683865999999995,-87.27589
84,AltaPointe Health Systems Inc,Mobile,AL,36693,30.625698,-88.149746
85,AltaPointe Health Systems Inc,Mobile,AL,36693,30.625698,-88.149746
86,AltaPointe Health Systems Inc,Mobile,AL,36608,30.681503000000003,-88.300213
87,Gardenia CRF,Mobile,AL,36608,30.681503000000003,-88.300213
88,Gulf Coast VAMC,Mobile,AL,36604,30.682213,-88.068134
89,Baptist Medical Center South,Montgomery,AL,36116,32.273588000000004,-86.214473
90,Jackson Hospital,Montgomery,AL,36106,32.35282,-86.25758499999999
91,Montgomery Area MH Authority,Montgomery,AL,36107,32.383689000000004,-86.279303
92,Montgomery Area MH Authority,Montgomery,AL,36109,32.388957,-86.242148
93,Montgomery Area MH Authority,Montgomery,AL,36109,32.388957,-86.242148
94,SafetyNet Academy,Montgomery,AL,36117,32.378728,-86.145011
95,Lawrence County,Moulton,AL,35650,34.447233000000004,-87.308593
96,Lawrence County,Moulton,AL,35650,34.447233000000004,-87.308593
97,Lawrence County,Moulton,AL,35650,34.447233000000004,-87.308593
98,MHCNCA Inc,Moulton,AL,35650,34.447233000000004,-87.308593
99,Shoals Senior Care,Muscle Shoals,AL,35661,34.768526,-87.562802
100,Northport Medical Center,Northport,AL,35476,33.227470000000004,-87.591277
101,Blount County CMHC,Oneonta,AL,35121,33.941185,-86.455102
102,East Alabama Medical Center,Opelika,AL,36801,32.694763,-85.39562600000001
103,Grand View Behavioral Health,Opelika,AL,36801,32.694763,-85.39562600000001
104,Waverly Residential Care Home,Opelika,AL,36801,32.694763,-85.39562600000001
105,Mizell Memorial Hospital,Opp,AL,36467,31.281017,-86.256945
106,Birmingham VAMC,Oxford,AL,36203,33.583079999999995,-85.834626
107,Dale Medical Center,Ozark,AL,36360,31.467469,-85.61703
108,SpectraCare,Ozark,AL,36360,31.467469,-85.61703
109,Chilton Shelby MHC,Pelham,AL,35124,33.32183,-86.74219699999999
110,Family/Youth Intervention Junior,Pelham,AL,35124,33.32183,-86.74219699999999
111,Saint Clair County CMHC,Pell City,AL,35125,33.633384,-86.288692
112,Montgomery Area MH Authority,Prattville,AL,36066,32.479684000000006,-86.424001
113,Randolph County Satellite Office,Roanoke,AL,36274,33.172406,-85.36314200000001
114,Riverbend Center for Mental Health,Russellville,AL,35653,34.518190999999995,-87.871965
115,SpectraCare,Samson,AL,36477,31.097175,-86.06141099999999
116,Mountain Lakes Behavioral Healthcare,Scottsboro,AL,35768,34.768890999999996,-86.10419300000001
117,Cahaba Center for Mental Health,Selma,AL,36701,32.483971999999994,-87.054642
118,Cahaba Center for Mental Health,Selma,AL,36701,32.483971999999994,-87.054642
119,Cahaba Center for Mental Health,Selma,AL,36701,32.483971999999994,-87.054642
120,Altapointe Health Systems Inc,Sylacauga,AL,35150,33.189306,-86.238384
121,Coosa Valley Senior Behavioral,Sylacauga,AL,35150,33.189306,-86.238384
122,Hillwood Home,Sylacauga,AL,35150,33.189306,-86.238384
123,Citizens Baptist Medical Center,Talladega,AL,35160,33.356656,-86.052297
124,Community Hospital,Tallassee,AL,36078,32.546979,-85.942735
125,Brewer/Porch Childrens Center,Tuscaloosa,AL,35404,33.215157,-87.483406
126,Bryce Hospital,Tuscaloosa,AL,35404,33.215157,-87.483406
127,Indian Rivers Mental Health Center,Tuscaloosa,AL,35401,33.170238,-87.616169
128,Mary Starke Harper,Tuscaloosa,AL,35401,33.170238,-87.616169
129,SpectraCare,Webb,AL,36376,31.251143,-85.269809
130,Montgomery Area MH Authority,Wetumpka,AL,36092,32.617657,-86.20053100000001
131,Altapointe Health Systems Inc,Wilmer,AL,36587,30.844238,-88.35124300000001
132,Northwest Medical Center,Winfield,AL,35594,33.932693,-87.774369
133,AK Child and Family,Anchorage,AK,99508,61.2014,-149.817502
134,Alaska Native Medical Center,Anchorage,AK,99508,61.2014,-149.817502
135,Arc of Anchorage,Anchorage,AK,99508,61.2014,-149.817502
136,Chris Kyle Patriots Hospital,Anchorage,AK,99508,61.2014,-149.817502
137,Denali Cove Counseling Center,Anchorage,AK,99508,61.2014,-149.817502
138,Good Samaritan Psychiatric Services,Anchorage,AK,99508,61.2014,-149.817502
139,North Star DeBarr Hospital,Anchorage,AK,99508,61.2014,-149.817502
140,North Star DeBarr RTC,Anchorage,AK,99508,61.2014,-149.817502
141,Providence Health and Servs/Washington,Anchorage,AK,99508,61.2014,-149.817502
142,AK Child and Family,Anchorage,AK,99507,61.147656000000005,-149.75364199999999
143,Akeela Inc,Anchorage,AK,99503,62.043951,-158.175667
144,Greatland Clinical Associates LLC,Anchorage,AK,99503,62.043951,-158.175667
145,Aleutian Pribilof Islands Association,Anchorage,AK,99518,61.159577,-149.884627
146,Denali Family Services,Anchorage,AK,99518,61.159577,-149.884627
147,Hope Community Resources,Anchorage,AK,99518,61.159577,-149.884627
148,Anchorage Comm Mental Health Services,Anchorage,AK,99501,61.220018,-149.855702
149,N40 N65,Anchorage,AK,99504,61.2046,-149.746095
150,Providence Adolescent,Anchorage,AK,99502,61.16364300000001,-149.996609
151,Providence Alaska Medical Center,Anchorage,AK,99519,69.21623699999999,-146.787467
152,Gathering Place,Barrow,AK,99723,71.2535,-156.800072
153,Matsutani Community Resource Center,Barrow,AK,99723,71.2535,-156.800072
154,McCann Treatment Center,Bethel,AK,99559,60.81415500000001,-161.85081
155,Yukon Kuskokwim Health Corporation,Bethel,AK,99559,60.81415500000001,-161.85081
156,Copper River Native Association,Copper Center,AK,99573,61.712313,-145.95176899999998
157,Sound Alternatives,Cordova,AK,99574,60.893995,-145.109037
158,Family Centered Services of Alaska,Fairbanks,AK,99709,64.86296800000001,-148.164072
159,Family Centered Services of Alaska,Fairbanks,AK,99701,67.094545,-149.336012
160,Presbyterian Hospitality House,Fairbanks,AK,99701,67.094545,-149.336012
161,Tanana Chiefs Conference,Fairbanks,AK,99701,67.094545,-149.336012
162,Fairbanks Community Mental,Fairbanks,AK,99701,67.094545,-149.336012
163,Fairbanks Memorial Hospital,Fairbanks,AK,99701,67.094545,-149.336012
164,Council of Athabascan Tribal Govt,Fort Yukon,AK,99740,67.874641,-144.59672
165,South Peninsula Behav Health Services,Homer,AK,99603,59.538518999999994,-151.186927
166,Juneau Alliance for Mental Health Inc,Juneau,AK,99801,58.37291,-134.17844499999998
167,Juneau Youth Services Inc,Juneau,AK,99801,58.37291,-134.17844499999998
168,Juneau Youth Services Inc,Juneau,AK,99801,58.37291,-134.17844499999998
169,Juneau Youth Services Inc,Juneau,AK,99801,58.37291,-134.17844499999998
170,Juneau Youth Services Inc,Juneau,AK,99801,58.37291,-134.17844499999998
171,Juneau Youth Services Inc,Juneau,AK,99801,58.37291,-134.17844499999998
172,Juneau Youth Services Inc,Juneau,AK,99801,58.37291,-134.17844499999998
173,National Council on Alc and Drug Dep,Juneau,AK,99801,58.37291,-134.17844499999998
174,SE Alaska Regional Health Consortium,Juneau,AK,99801,58.37291,-134.17844499999998
175,Salmon Creek Lodge,Juneau,AK,99801,58.37291,-134.17844499999998
176,Timberline House,Juneau,AK,99801,58.37291,-134.17844499999998
177,Community Connections,Craig,AK,99921,55.407033,-132.76623500000002
178,Bristol Bay Area Health Corporation,Dillingham,AK,99576,60.26110799999999,-159.092876
179,Kenai Peninsula Community Care Center,Kenai,AK,99611,60.600457999999996,-151.106322
180,Kenai Peninsula Community Care Center,Kenai,AK,99611,60.600457999999996,-151.106322
181,Kenai VA CBOC,Kenai,AK,99611,60.600457999999996,-151.106322
182,Kenaitze Indian Tribe,Kenai,AK,99611,60.600457999999996,-151.106322
183,Akeela Gateway Ctr for Human Services,Ketchikan,AK,99901,55.54040500000001,-131.105347
184,Community Connections,Ketchikan,AK,99901,55.54040500000001,-131.105347
185,Gateway Center for Human Services,Ketchikan,AK,99901,55.54040500000001,-131.105347
186,PeaceHealth Ketchikan Medical Center,Ketchikan,AK,99901,55.54040500000001,-131.105347
187,King Cove CHC,King Cove,AK,99612,55.058778000000004,-162.273717
188,Kodiak Area Native Association,Kodiak,AK,99615,57.650481000000006,-153.26110500000001
189,Providence Kodiak Island,Kodiak,AK,99615,57.650481000000006,-153.26110500000001
190,Maniilaq Association,Kotzebue,AK,99752,67.26311700000001,-161.919349
191,Maniilaq Counseling and Recovery Ctr,Kotzebue,AK,99752,67.26311700000001,-161.919349
192,Ninilchik Traditional Council,Ninilchik,AK,99639,60.06170899999999,-151.406462
193,Norton Sound Health Corporation,Nome,AK,99762,64.74402099999999,-164.659417
194,Co Occurring Disorders Institute Inc,Palmer,AK,99645,61.62449,-148.979752
195,Daybreak Inc,Palmer,AK,99645,61.62449,-148.979752
196,North Star Palmer RTC,Palmer,AK,99645,61.62449,-148.979752
197,Summit of North Star Behavioral Health,Palmer,AK,99645,61.62449,-148.979752
198,Petersburg Mental Health Services,Petersburg,AK,99833,56.926675,-133.120372
199,Eastern Aleutian Tribes Inc,Sand Point,AK,99661,55.247147,-160.685152
200,Seaview Community Services,Seward,AK,99664,60.076335,-149.49266200000002
201,NeuroBehavioral Consultants LLC,Sitka,AK,99835,57.000402,-135.07671299999998
202,Sitka Counseling and Prevention Servs,Sitka,AK,99835,57.000402,-135.07671299999998
203,Youth Advocates of Sitka,Sitka,AK,99835,57.000402,-135.07671299999998
204,Youth Advocates of Sitka,Sitka,AK,99835,57.000402,-135.07671299999998
205,Peninsula Comm Hlth Servs of Alaska,Soldotna,AK,99669,60.36015,-151.017884
206,TCC Upper Tanana Behavioral Health,Tok,AK,99780,63.181236,-143.102439
207,Providence Valdez Counseling Center,Valdez,AK,99686,61.15008,-146.810141
208,Denali Family Services,Wasilla,AK,99654,61.449113,-149.900744
209,Mat Su Health Services,Wasilla,AK,99654,61.449113,-149.900744
210,Wasilla Behavioral Health Services,Wasilla,AK,99654,61.449113,-149.900744
211,Alaska Island Community Services,Wrangell,AK,99929,56.370751,-131.693301
212,Yakutat Counseling,Yakutat,AK,99689,59.484561,-139.419308
213,Dept of Human and Social Services,Pago Pago,AS,96799,14.319506,-170.750246
214,LBJ Tropical Medical Center,Pago Pago,AS,96799,14.319506,-170.750246
215,Arizona Mentor,Apache Junction,AZ,85120,33.402386,-111.56787800000001
216,Arizonas Children Association,Apache Junction,AZ,85120,33.402386,-111.56787800000001
217,Horizon Health and Wellness,Apache Junction,AZ,85120,33.402386,-111.56787800000001
218,Mountain Health and Wellness,Apache Junction,AZ,85120,33.402386,-111.56787800000001
219,Horizon Health and Wellness,Apache Junction,AZ,85119,33.409686,-111.50196000000001
220,Arizona Mentor,Arizona City,AZ,85123,32.715299,-111.69771399999999
221,Community Bridges Inc,Avondale,AZ,85323,33.419233,-112.326866
222,Valle del Sol,Avondale,AZ,85392,33.477579999999996,-112.308889
223,Arizona Csl and Treatment Servs LLC,Benson,AZ,85602,32.167495,-110.411875
224,Community Bridges Inc,Benson,AZ,85602,32.167495,-110.411875
225,Southeastern Arizona Behavioral Health,Benson,AZ,85602,32.167495,-110.411875
226,Arizona Counseling and Treatment Servs,Bisbee,AZ,85603,31.432669,-109.91905600000001
227,Community Health Associates,Bisbee,AZ,85603,31.432669,-109.91905600000001
228,Southwest Behavioral Health Services,Buckeye,AZ,85326,33.293755,-112.59051399999998
229,ABC Therapy LLC,Bullhead City,AZ,86442,35.089613,-114.560868
230,Mohave Mental Health Clinic Inc,Bullhead City,AZ,86442,35.089613,-114.560868
231,Solutions One Stop Counseling,Bullhead City,AZ,86442,35.089613,-114.560868
232,Southwest Behavioral Health,Bullhead City,AZ,86442,35.089613,-114.560868
233,Spectrum Healthcare Group Inc,Camp Verde,AZ,86322,34.500279,-111.801158
234,Arizona Mentor,Casa Grande,AZ,85122,32.917126,-111.744208
235,Arizona Mentor,Casa Grande,AZ,85122,32.917126,-111.744208
236,Centro Conocimiento,Casa Grande,AZ,85122,32.917126,-111.744208
237,Corazon Integrated Healthcare Services,Casa Grande,AZ,85122,32.917126,-111.744208
238,Desert Rose Wellness Center,Casa Grande,AZ,85122,32.917126,-111.744208
239,Helping Associates Inc,Casa Grande,AZ,85122,32.917126,-111.744208
240,Horizon Health and Wellness,Casa Grande,AZ,85122,32.917126,-111.744208
241,Horizon Health and Wellness,Casa Grande,AZ,85122,32.917126,-111.744208
242,Horizon Health and Wellness,Casa Grande,AZ,85122,32.917126,-111.744208
243,Horizon Human Services,Casa Grande,AZ,85122,32.917126,-111.744208
244,Oasis Behavioral Health,Casa Grande,AZ,85122,32.917126,-111.744208
245,PSA Behavioral Health Agency,Casa Grande,AZ,85122,32.917126,-111.744208
246,Arizona Mentor,Chandler,AZ,85225,33.317448,-111.830487
247,Arizonas Children Association,Chandler,AZ,85225,33.317448,-111.830487
248,New Horizon Youth Homes Inc,Chandler,AZ,85225,33.317448,-111.830487
249,Oasis Behavioral Health,Chandler,AZ,85225,33.317448,-111.830487
250,Southwest Network,Chandler,AZ,85225,33.317448,-111.830487
251,Arizona Mentor,Chandler,AZ,85286,33.271981,-111.831774
252,Banner Behavioral Health,Chandler,AZ,85224,33.323671999999995,-111.87846100000002
253,Santan,Chandler,AZ,85224,33.323671999999995,-111.87846100000002
254,Southeastern Arizona Behavioral Health,Clifton,AZ,85533,33.353944,-109.40578300000001
255,Arizonas Children Association,Coolidge,AZ,85128,32.989934000000005,-111.537957
256,Pinal Hispanic Council,Coolidge,AZ,85128,32.989934000000005,-111.537957
257,Prescott VAMC,Cottonwood,AZ,86326,34.700031,-112.02363400000002
258,Spectrum Healthcare,Cottonwood,AZ,86326,34.700031,-112.02363400000002
259,Spectrum Healthcare,Cottonwood,AZ,86326,34.700031,-112.02363400000002
260,Spectrum Healthcare Group Inc,Cottonwood,AZ,86326,34.700031,-112.02363400000002
261,Mingus Mountain Academy,Dewey,AZ,86327,34.571319,-112.10502
262,Community Health Associates,Douglas,AZ,85607,31.520778999999997,-109.37921999999999
263,Corazon Integrated Health Services,Douglas,AZ,85607,31.520778999999997,-109.37921999999999
264,Pinal Hispanic Council,Douglas,AZ,85607,31.520778999999997,-109.37921999999999
265,Power Wellness Center,Eagar,AZ,85925,34.08811,-109.322992
266,New Horizon Youth Homes Inc,El Mirage,AZ,85335,33.592283,-112.32769099999999
267,Behavioral Consultation Services Inc,Flagstaff,AZ,86001,35.287661,-111.639303
268,AH F30 N23 SP,Flagstaff,AZ,86001,35.287661,-111.639303
269,Flagstaff Medical Center,Flagstaff,AZ,86001,35.287661,-111.639303
270,Prescott VAMC,Flagstaff,AZ,86001,35.287661,-111.639303
271,Guidance Center,Flagstaff,AZ,86004,35.380939,-111.37346299999999
272,Guidance Center,Flagstaff,AZ,86004,35.380939,-111.37346299999999
273,Native Americans for Community Action,Flagstaff,AZ,86004,35.380939,-111.37346299999999
274,Southwest Behavioral Health Services,Flagstaff,AZ,86004,35.380939,-111.37346299999999
275,Encompass Health Services,Fredonia,AZ,86022,36.856316,-112.836996
276,Navajo Health Foundation/Sage Memorial,Ganado,AZ,86505,35.623754,-109.706962
277,SanTan Behavioral Health Services LLC,Gilbert,AZ,85234,33.361667,-111.741003
278,Tilda Manor,Gilbert,AZ,85297,33.277771,-111.731454
279,A New Leaf Inc,Glendale,AZ,85302,33.568090000000005,-112.17808899999999
280,Aurora Behavioral Health System,Glendale,AZ,85302,33.568090000000005,-112.17808899999999
281,Empact/Suicide Prevention Center,Glendale,AZ,85302,33.568090000000005,-112.17808899999999
282,Terros Health,Glendale,AZ,85302,33.568090000000005,-112.17808899999999
283,Terros Health,Glendale,AZ,85302,33.568090000000005,-112.17808899999999
284,Arizona Healthcare Contract Management,Glendale,AZ,85304,33.599739,-112.178276
285,Arizona Mentor,Glendale,AZ,85305,33.531745,-112.25609299999999
286,Arizona Mentor,Glendale,AZ,85308,33.660382,-112.184964
287,Community Bridges Inc,Globe,AZ,85501,33.559003999999995,-110.769126
288,Horizon Human Services,Globe,AZ,85501,33.559003999999995,-110.769126
289,Horizon Human Services,Globe,AZ,85501,33.559003999999995,-110.769126
290,Southeastern AZ Behavioral Hlth Servs,Globe,AZ,85501,33.559003999999995,-110.769126
291,COPE Community Services Inc,Green Valley,AZ,85614,31.814301,-110.9194
292,Community Health Associates,Green Valley,AZ,85622,31.826851,-111.075511
293,Marys Mission and Development Center,Hereford,AZ,85615,31.402633,-110.211724
294,Horizon Health and Wellness,Kearny,AZ,85137,33.136377,-111.02257
295,Mohave Mental Health Clinic Inc,Kingman,AZ,86409,35.461006,-114.01806
296,Mohave Mental Health Clinic Inc,Kingman,AZ,86409,35.461006,-114.01806
297,Mohave Mental Health Clinic Inc,Kingman,AZ,86409,35.461006,-114.01806
298,Mohave Mental Health Clinic Inc,Kingman,AZ,86401,35.131719,-113.70393200000001
299,Mohave Mental Health Clinic Inc,Kingman,AZ,86401,35.131719,-113.70393200000001
300,Mohave Mental Health Clinic Inc,Lake Havasu City,AZ,86403,34.480257,-114.348504
301,Social Services Interagency,Lake Havasu City,AZ,86403,34.480257,-114.348504
302,Arizona Mentor,Laveen,AZ,85339,33.237666,-112.15858700000001
303,Arizona Mentor,Laveen,AZ,85339,33.237666,-112.15858700000001
304,Encompass Health Services,Littlefield,AZ,86432,36.366634000000005,-113.446572
305,MHC Healthcare,Marana,AZ,85653,32.398790000000005,-111.38633300000001
306,Empact Suicide Prevention Center,Maricopa,AZ,85139,32.979987,-112.144852
307,Spring Ridge Academy,Mayer,AZ,86333,34.323040999999996,-112.08197
308,A New Leaf Inc,Mesa,AZ,85203,33.450359000000006,-111.802894
309,Arizona Healthcare Contract Management,Mesa,AZ,85203,33.450359000000006,-111.802894
310,F81 F92 N23 SP,Mesa,AZ,85203,33.450359000000006,-111.802894
311,Terros Health,Mesa,AZ,85203,33.450359000000006,-111.802894
312,Arizona Mentor,Mesa,AZ,85209,33.37545,-111.63866999999999
313,Community Bridges Inc,Mesa,AZ,85210,33.389733,-111.84350500000001
314,Lifewell Behavioral Wellness,Mesa,AZ,85210,33.389733,-111.84350500000001
315,Lifewell Behavioral Wellness,Mesa,AZ,85210,33.389733,-111.84350500000001
316,Resolution Group,Mesa,AZ,85210,33.389733,-111.84350500000001
317,Southwest Behavioral Health Services,Mesa,AZ,85210,33.389733,-111.84350500000001
318,Family Service Agency,Mesa,AZ,85204,33.395720000000004,-111.786608
319,Marc Community Resources,Mesa,AZ,85204,33.395720000000004,-111.786608
320,AH F28 F30 F79 SP,Mesa,AZ,85204,33.395720000000004,-111.786608
321,Lifewell Behavioral Wellness,Mesa,AZ,85201,33.433545,-111.8504
322,Maricopa Medical Center,Mesa,AZ,85201,33.433545,-111.8504
323,Stand Together and Recover Centers,Mesa,AZ,85201,33.433545,-111.8504
324,Lifewell Behavioral Wellness,Mesa,AZ,85207,33.454586,-111.63797199999999
325,Tilda Manor,Mesa,AZ,85207,33.454586,-111.63797199999999
326,Marc Community Resources,Mesa,AZ,85206,33.396296,-111.717019
327,Partners in Recovery,Mesa,AZ,85205,33.43242,-111.71851200000002
328,Southwest Behavioral Health,Mesa,AZ,85202,33.379757,-111.875018
329,AH F28 F30 F79 SP,Mesa,AZ,85212,33.322324,-111.635342
330,Community Intervention Associates,Nogales,AZ,85621,31.387978000000004,-110.912001
331,Pinal Hispanic Council,Nogales,AZ,85621,31.387978000000004,-110.912001
332,Horizon Health and Wellness,Oracle,AZ,85623,32.706246,-110.80521100000001
333,Encompass Health Services,Page,AZ,86040,36.705496000000004,-111.42753799999998
334,Community Intervention Associates,Parker,AZ,85344,34.080653999999996,-114.21623899999999
335,La Paz Counseling Services PLLC,Parker,AZ,85344,34.080653999999996,-114.21623899999999
336,Southwest Behavioral Health Services,Payson,AZ,85541,34.194537,-111.304309
337,Southwest Behavioral Health Services,Payson,AZ,85541,34.194537,-111.304309
338,Arizona Mentor,Peoria,AZ,85381,33.609171999999994,-112.23038100000001
339,Arizona Mentor,Peoria,AZ,85382,33.654291,-112.24947399999999
340,Southwest Network,Peoria,AZ,85382,33.654291,-112.24947399999999
341,Partners in Recovery,Peoria,AZ,85345,33.573244,-112.245852
342,Arizona Center for Change,Phoenix,AZ,85013,33.511086999999996,-112.084749
343,Florence Crittenton Services of AZ Inc,Phoenix,AZ,85013,33.511086999999996,-112.084749
344,Rio Salado,Phoenix,AZ,85013,33.511086999999996,-112.084749
345,Arizona Healthcare Contract Management,Phoenix,AZ,85053,33.629922,-112.13160900000001
346,Community Connections LLC,Phoenix,AZ,85053,33.629922,-112.13160900000001
347,Arizona Healthcare Contract Management,Phoenix,AZ,85051,33.558659000000006,-112.13241799999999
348,Arizona Healthcare Contract Management,Phoenix,AZ,85051,33.558659000000006,-112.13241799999999
349,Family Service Agency,Phoenix,AZ,85051,33.558659000000006,-112.13241799999999
350,Partners in Recovery,Phoenix,AZ,85051,33.558659000000006,-112.13241799999999
351,Southwest Behavioral Health Services,Phoenix,AZ,85051,33.558659000000006,-112.13241799999999
352,Terrors Inc,Phoenix,AZ,85051,33.558659000000006,-112.13241799999999
353,Arizona Healthcare Contract Management,Phoenix,AZ,85021,33.559421,-112.092875
354,PSA Behavioral Health Agency,Phoenix,AZ,85021,33.559421,-112.092875
355,PSA Bhavioral Health Agency,Phoenix,AZ,85021,33.559421,-112.092875
356,Terros Health,Phoenix,AZ,85021,33.559421,-112.092875
357,Terros Health,Phoenix,AZ,85021,33.559421,-112.092875
