Sex,State,Age Group,Cause of Death,Year,Deaths,Population,Crude Rate
Females,Alabama,45-49 yrs,Suicide Injury,2013,20,163043,12.27
Females,Alabama,45-49 yrs,Suicide Injury,2014,13,159238,8.16
Females,Alabama,45-49 yrs,Suicide Injury,2015,15,157976,9.5
Females,Alabama,45-49 yrs,Suicide Injury,2016,19,159593,11.91
Females,Alabama,45-49 yrs,Suicide Injury,2017,14,161003,8.7
Females,Alabama,50-54 yrs,Suicide Injury,2013,15,178060,8.42
Females,Alabama,50-54 yrs,Suicide Injury,2014,26,177372,14.66
Females,Alabama,50-54 yrs,Suicide Injury,2015,15,174940,8.57
Females,Alabama,50-54 yrs,Suicide Injury,2016,16,170877,9.36
Females,Alabama,50-54 yrs,Suicide Injury,2017,13,166142,7.82
Females,Alabama,55-59 yrs,Suicide Injury,2013,22,173097,12.71
Females,Alabama,55-59 yrs,Suicide Injury,2014,14,174077,8.04
Females,Alabama,55-59 yrs,Suicide Injury,2015,19,175240,10.84
Females,Alabama,55-59 yrs,Suicide Injury,2016,28,176025,15.91
Females,Alabama,55-59 yrs,Suicide Injury,2017,20,175678,11.38
Females,Alabama,60-64 yrs,Suicide Injury,2013,14,152199,9.2
Females,Alabama,60-64 yrs,Suicide Injury,2014,P,154722,.
Females,Alabama,60-64 yrs,Suicide Injury,2015,17,158160,10.75
Females,Alabama,60-64 yrs,Suicide Injury,2016,14,161715,8.66
Females,Alabama,60-64 yrs,Suicide Injury,2017,14,165455,8.46
Females,Alabama,65-69 yrs,Suicide Injury,2013,10,127599,7.84
Females,Alabama,65-69 yrs,Suicide Injury,2014,12,133143,9.01
Females,Alabama,65-69 yrs,Suicide Injury,2015,P,138607,.
Females,Alabama,65-69 yrs,Suicide Injury,2016,P,144434,.
Females,Alabama,65-69 yrs,Suicide Injury,2017,P,143689,.
Females,Alabama,70-74 yrs,Suicide Injury,2013,P,97296,.
Females,Alabama,70-74 yrs,Suicide Injury,2014,P,100474,.
Females,Alabama,70-74 yrs,Suicide Injury,2015,10,103071,9.7
Females,Alabama,70-74 yrs,Suicide Injury,2016,P,105232,.
Females,Alabama,70-74 yrs,Suicide Injury,2017,P,113631,.
Females,Alabama,75-79 yrs,Suicide Injury,2013,P,74003,.
Females,Alabama,75-79 yrs,Suicide Injury,2014,P,75820,.
Females,Alabama,75-79 yrs,Suicide Injury,2015,P,77112,.
Females,Alabama,75-79 yrs,Suicide Injury,2016,P,78550,.
Females,Alabama,75-79 yrs,Suicide Injury,2017,P,80897,.
Females,Alabama,80-84 yrs,Suicide Injury,2013,P,54631,.
Females,Alabama,80-84 yrs,Suicide Injury,2014,P,54647,.
Females,Alabama,80-84 yrs,Suicide Injury,2015,P,55090,.
Females,Alabama,80-84 yrs,Suicide Injury,2016,P,55828,.
Females,Alabama,80-84 yrs,Suicide Injury,2017,P,56520,.
Females,Alabama,85+ yrs,Suicide Injury,2013,P,55944,.
Females,Alabama,85+ yrs,Suicide Injury,2014,P,57013,.
Females,Alabama,85+ yrs,Suicide Injury,2015,P,57818,.
Females,Alabama,85+ yrs,Suicide Injury,2016,P,58565,.
Females,Alabama,85+ yrs,Suicide Injury,2017,P,59027,.
Males,Alaska,00-04 yrs,Suicide Injury,2013,P,28461,.
Males,Alaska,00-04 yrs,Suicide Injury,2014,P,28335,.
Males,Alaska,00-04 yrs,Suicide Injury,2015,P,28190,.
Males,Alaska,00-04 yrs,Suicide Injury,2016,P,27941,.
Males,Alaska,00-04 yrs,Suicide Injury,2017,P,27625,.
Males,Alaska,05-09 yrs,Suicide Injury,2013,P,26679,.
Males,Alaska,05-09 yrs,Suicide Injury,2014,P,26756,.
Males,Alaska,05-09 yrs,Suicide Injury,2015,P,26720,.
Males,Alaska,05-09 yrs,Suicide Injury,2016,P,27127,.
Males,Alaska,05-09 yrs,Suicide Injury,2017,P,26850,.
Males,Alaska,10-14 yrs,Suicide Injury,2013,P,26122,.
Males,Alaska,10-14 yrs,Suicide Injury,2014,P,25649,.
Males,Alaska,10-14 yrs,Suicide Injury,2015,P,25232,.
Males,Alaska,10-14 yrs,Suicide Injury,2016,P,25330,.
Males,Alaska,10-14 yrs,Suicide Injury,2017,P,25316,.
Males,Alaska,15-19 yrs,Suicide Injury,2013,14,25541,54.81
Males,Alaska,15-19 yrs,Suicide Injury,2014,14,25186,55.59
Males,Alaska,15-19 yrs,Suicide Injury,2015,12,24951,48.09
Males,Alaska,15-19 yrs,Suicide Injury,2016,10,24878,40.2
Males,Alaska,15-19 yrs,Suicide Injury,2017,17,24709,68.8
Males,Alaska,20-24 yrs,Suicide Injury,2013,24,34378,69.81
Males,Alaska,20-24 yrs,Suicide Injury,2014,18,34425,52.29
Males,Alaska,20-24 yrs,Suicide Injury,2015,29,34065,85.13
Males,Alaska,20-24 yrs,Suicide Injury,2016,28,32807,85.35
Males,Alaska,20-24 yrs,Suicide Injury,2017,24,31449,76.31
Males,Alaska,25-29 yrs,Suicide Injury,2013,23,32389,71.01
Males,Alaska,25-29 yrs,Suicide Injury,2014,22,32673,67.33
Males,Alaska,25-29 yrs,Suicide Injury,2015,21,33061,63.52
Males,Alaska,25-29 yrs,Suicide Injury,2016,23,33783,68.08
Males,Alaska,25-29 yrs,Suicide Injury,2017,20,33700,59.35
Males,Alaska,30-34 yrs,Suicide Injury,2013,20,28656,69.79
Males,Alaska,30-34 yrs,Suicide Injury,2014,16,29440,54.35
Males,Alaska,30-34 yrs,Suicide Injury,2015,P,29821,.
Males,Alaska,30-34 yrs,Suicide Injury,2016,16,30472,52.51
Males,Alaska,30-34 yrs,Suicide Injury,2017,20,30359,65.88
Males,Alaska,35-39 yrs,Suicide Injury,2013,P,23803,.
Males,Alaska,35-39 yrs,Suicide Injury,2014,P,24101,.
Males,Alaska,35-39 yrs,Suicide Injury,2015,12,24772,48.44
Males,Alaska,35-39 yrs,Suicide Injury,2016,16,25732,62.18
Males,Alaska,35-39 yrs,Suicide Injury,2017,11,26288,41.84
Males,Alaska,40-44 yrs,Suicide Injury,2013,P,24256,.
Males,Alaska,40-44 yrs,Suicide Injury,2014,14,23617,59.28
Males,Alaska,40-44 yrs,Suicide Injury,2015,14,23099,60.61
Males,Alaska,40-44 yrs,Suicide Injury,2016,13,22589,57.55
Males,Alaska,40-44 yrs,Suicide Injury,2017,11,22369,49.18
Males,Alaska,45-49 yrs,Suicide Injury,2013,14,25046,55.9
Males,Alaska,45-49 yrs,Suicide Injury,2014,P,24108,.
Males,Alaska,45-49 yrs,Suicide Injury,2015,18,23738,75.83
Males,Alaska,45-49 yrs,Suicide Injury,2016,P,23596,.
Males,Alaska,45-49 yrs,Suicide Injury,2017,12,23363,51.36
Males,Alaska,50-54 yrs,Suicide Injury,2013,P,28448,.
Males,Alaska,50-54 yrs,Suicide Injury,2014,13,27855,46.67
Males,Alaska,50-54 yrs,Suicide Injury,2015,P,26652,.
Males,Alaska,50-54 yrs,Suicide Injury,2016,P,25554,.
Males,Alaska,50-54 yrs,Suicide Injury,2017,P,24497,.
Males,Alaska,55-59 yrs,Suicide Injury,2013,P,27043,.
Males,Alaska,55-59 yrs,Suicide Injury,2014,P,26664,.
Males,Alaska,55-59 yrs,Suicide Injury,2015,10,26611,37.58
Males,Alaska,55-59 yrs,Suicide Injury,2016,P,26438,.
Males,Alaska,55-59 yrs,Suicide Injury,2017,10,26028,38.42
Males,Alaska,60-64 yrs,Suicide Injury,2013,P,21908,.
Males,Alaska,60-64 yrs,Suicide Injury,2014,P,22278,.
Males,Alaska,60-64 yrs,Suicide Injury,2015,P,22716,.
Males,Alaska,60-64 yrs,Suicide Injury,2016,P,22910,.
Males,Alaska,60-64 yrs,Suicide Injury,2017,P,23093,.
Males,Alaska,65-69 yrs,Suicide Injury,2013,P,14416,.
Males,Alaska,65-69 yrs,Suicide Injury,2014,P,15283,.
Males,Alaska,65-69 yrs,Suicide Injury,2015,P,16303,.
Males,Alaska,65-69 yrs,Suicide Injury,2016,P,17320,.
Males,Alaska,65-69 yrs,Suicide Injury,2017,P,17639,.
Males,Alaska,70-74 yrs,Suicide Injury,2013,P,8573,.
Males,Alaska,70-74 yrs,Suicide Injury,2014,P,9309,.
Males,Alaska,70-74 yrs,Suicide Injury,2015,P,9884,.
Males,Alaska,70-74 yrs,Suicide Injury,2016,P,10300,.
Males,Alaska,70-74 yrs,Suicide Injury,2017,P,11355,.
Males,Alaska,75-79 yrs,Suicide Injury,2013,P,4867,.
Males,Alaska,75-79 yrs,Suicide Injury,2014,P,5078,.
Males,Alaska,75-79 yrs,Suicide Injury,2015,P,5396,.
Males,Alaska,75-79 yrs,Suicide Injury,2016,P,5851,.
Males,Alaska,75-79 yrs,Suicide Injury,2017,P,6323,.
Males,Alaska,80-84 yrs,Suicide Injury,2013,P,2892,.
Males,Alaska,80-84 yrs,Suicide Injury,2014,P,2956,.
Males,Alaska,80-84 yrs,Suicide Injury,2015,P,2970,.
Males,Alaska,80-84 yrs,Suicide Injury,2016,P,3113,.
Males,Alaska,80-84 yrs,Suicide Injury,2017,P,3296,.
Males,Alaska,85+ yrs,Suicide Injury,2013,P,1987,.
Males,Alaska,85+ yrs,Suicide Injury,2014,P,2117,.
Males,Alaska,85+ yrs,Suicide Injury,2015,P,2297,.
Males,Alaska,85+ yrs,Suicide Injury,2016,P,2427,.
Males,Alaska,85+ yrs,Suicide Injury,2017,P,2533,.
Females,Alaska,00-04 yrs,Suicide Injury,2013,P,26800,.
Females,Alaska,00-04 yrs,Suicide Injury,2014,P,26910,.
Females,Alaska,00-04 yrs,Suicide Injury,2015,P,26832,.
Females,Alaska,00-04 yrs,Suicide Injury,2016,P,26723,.
Females,Alaska,00-04 yrs,Suicide Injury,2017,P,26458,.
Females,Alaska,05-09 yrs,Suicide Injury,2013,P,25341,.
Females,Alaska,05-09 yrs,Suicide Injury,2014,P,24980,.
Females,Alaska,05-09 yrs,Suicide Injury,2015,P,24957,.
Females,Alaska,05-09 yrs,Suicide Injury,2016,P,25302,.
Females,Alaska,05-09 yrs,Suicide Injury,2017,P,25222,.
Females,Alaska,10-14 yrs,Suicide Injury,2013,P,24496,.
Females,Alaska,10-14 yrs,Suicide Injury,2014,P,24230,.
Females,Alaska,10-14 yrs,Suicide Injury,2015,P,24083,.
Females,Alaska,10-14 yrs,Suicide Injury,2016,P,24104,.
Females,Alaska,10-14 yrs,Suicide Injury,2017,P,24147,.
Females,Alaska,15-19 yrs,Suicide Injury,2013,P,23126,.
Females,Alaska,15-19 yrs,Suicide Injury,2014,P,22789,.
Females,Alaska,15-19 yrs,Suicide Injury,2015,P,22386,.
Females,Alaska,15-19 yrs,Suicide Injury,2016,P,22359,.
Females,Alaska,15-19 yrs,Suicide Injury,2017,P,22093,.
Females,Alaska,20-24 yrs,Suicide Injury,2013,P,26553,.
Females,Alaska,20-24 yrs,Suicide Injury,2014,P,25992,.
Females,Alaska,20-24 yrs,Suicide Injury,2015,P,25355,.
Females,Alaska,20-24 yrs,Suicide Injury,2016,P,24342,.
Females,Alaska,20-24 yrs,Suicide Injury,2017,P,23268,.
Females,Alaska,25-29 yrs,Suicide Injury,2013,P,28031,.
Females,Alaska,25-29 yrs,Suicide Injury,2014,P,28203,.
Females,Alaska,25-29 yrs,Suicide Injury,2015,P,28424,.
Females,Alaska,25-29 yrs,Suicide Injury,2016,P,28960,.
Females,Alaska,25-29 yrs,Suicide Injury,2017,P,29020,.
Females,Alaska,30-34 yrs,Suicide Injury,2013,P,25802,.
Females,Alaska,30-34 yrs,Suicide Injury,2014,P,26474,.
Females,Alaska,30-34 yrs,Suicide Injury,2015,P,26806,.
Females,Alaska,30-34 yrs,Suicide Injury,2016,P,27280,.
Females,Alaska,30-34 yrs,Suicide Injury,2017,P,27136,.
Females,Alaska,35-39 yrs,Suicide Injury,2013,P,21780,.
Females,Alaska,35-39 yrs,Suicide Injury,2014,P,22018,.
Females,Alaska,35-39 yrs,Suicide Injury,2015,P,22723,.
Females,Alaska,35-39 yrs,Suicide Injury,2016,P,23610,.
Females,Alaska,35-39 yrs,Suicide Injury,2017,P,24136,.
Females,Alaska,40-44 yrs,Suicide Injury,2013,P,22262,.
Females,Alaska,40-44 yrs,Suicide Injury,2014,P,21603,.
Females,Alaska,40-44 yrs,Suicide Injury,2015,P,20938,.
Females,Alaska,40-44 yrs,Suicide Injury,2016,P,20417,.
Females,Alaska,40-44 yrs,Suicide Injury,2017,P,20419,.
Females,Alaska,45-49 yrs,Suicide Injury,2013,P,22757,.
Females,Alaska,45-49 yrs,Suicide Injury,2014,P,21813,.
Females,Alaska,45-49 yrs,Suicide Injury,2015,P,21530,.
Females,Alaska,45-49 yrs,Suicide Injury,2016,P,21422,.
Females,Alaska,45-49 yrs,Suicide Injury,2017,P,21134,.
Females,Alaska,50-54 yrs,Suicide Injury,2013,P,26097,.
Females,Alaska,50-54 yrs,Suicide Injury,2014,P,25334,.
Females,Alaska,50-54 yrs,Suicide Injury,2015,P,24445,.
Females,Alaska,50-54 yrs,Suicide Injury,2016,P,23415,.
Females,Alaska,50-54 yrs,Suicide Injury,2017,P,22291,.
Females,Alaska,55-59 yrs,Suicide Injury,2013,P,25189,.
Females,Alaska,55-59 yrs,Suicide Injury,2014,P,25026,.
Females,Alaska,55-59 yrs,Suicide Injury,2015,P,24699,.
Females,Alaska,55-59 yrs,Suicide Injury,2016,P,24482,.
Females,Alaska,55-59 yrs,Suicide Injury,2017,P,24112,.
Females,Alaska,60-64 yrs,Suicide Injury,2013,P,19607,.
Females,Alaska,60-64 yrs,Suicide Injury,2014,P,20234,.
Females,Alaska,60-64 yrs,Suicide Injury,2015,P,21089,.
Females,Alaska,60-64 yrs,Suicide Injury,2016,P,21653,.
Females,Alaska,60-64 yrs,Suicide Injury,2017,P,22133,.
Females,Alaska,65-69 yrs,Suicide Injury,2013,P,13076,.
Females,Alaska,65-69 yrs,Suicide Injury,2014,P,13916,.
Females,Alaska,65-69 yrs,Suicide Injury,2015,P,14797,.
Females,Alaska,65-69 yrs,Suicide Injury,2016,P,15736,.
Females,Alaska,65-69 yrs,Suicide Injury,2017,P,16221,.
Females,Alaska,70-74 yrs,Suicide Injury,2013,P,8102,.
Females,Alaska,70-74 yrs,Suicide Injury,2014,P,8696,.
Females,Alaska,70-74 yrs,Suicide Injury,2015,P,9284,.
Females,Alaska,70-74 yrs,Suicide Injury,2016,P,9734,.
Females,Alaska,70-74 yrs,Suicide Injury,2017,P,10689,.
Females,Alaska,75-79 yrs,Suicide Injury,2013,P,5180,.
Females,Alaska,75-79 yrs,Suicide Injury,2014,P,5353,.
Females,Alaska,75-79 yrs,Suicide Injury,2015,P,5615,.
Females,Alaska,75-79 yrs,Suicide Injury,2016,P,6008,.
Females,Alaska,75-79 yrs,Suicide Injury,2017,P,6460,.
Females,Alaska,80-84 yrs,Suicide Injury,2013,P,3635,.
Females,Alaska,80-84 yrs,Suicide Injury,2014,P,3714,.
Females,Alaska,80-84 yrs,Suicide Injury,2015,P,3790,.
Females,Alaska,80-84 yrs,Suicide Injury,2016,P,3918,.
Females,Alaska,80-84 yrs,Suicide Injury,2017,P,4043,.
Females,Alaska,85+ yrs,Suicide Injury,2013,P,3461,.
Females,Alaska,85+ yrs,Suicide Injury,2014,P,3644,.
Females,Alaska,85+ yrs,Suicide Injury,2015,P,3748,.
Females,Alaska,85+ yrs,Suicide Injury,2016,P,3889,.
Females,Alaska,85+ yrs,Suicide Injury,2017,P,4021,.
Males,Arizona,00-04 yrs,Suicide Injury,2013,P,221378,.
Males,Arizona,00-04 yrs,Suicide Injury,2014,P,221451,.
Males,Arizona,00-04 yrs,Suicide Injury,2015,P,222099,.
Males,Arizona,00-04 yrs,Suicide Injury,2016,P,223055,.
Males,Arizona,00-04 yrs,Suicide Injury,2017,P,223615,.
Males,Arizona,05-09 yrs,Suicide Injury,2013,P,233872,.
Males,Arizona,05-09 yrs,Suicide Injury,2014,P,233898,.
Males,Arizona,05-09 yrs,Suicide Injury,2015,P,232513,.
Males,Arizona,05-09 yrs,Suicide Injury,2016,P,231460,.
Males,Arizona,05-09 yrs,Suicide Injury,2017,P,229890,.
Males,Arizona,10-14 yrs,Suicide Injury,2013,P,230004,.
Males,Arizona,10-14 yrs,Suicide Injury,2014,P,231448,.
Males,Arizona,10-14 yrs,Suicide Injury,2015,P,232038,.
Males,Arizona,10-14 yrs,Suicide Injury,2016,P,233732,.
Males,Arizona,10-14 yrs,Suicide Injury,2017,11,237321,4.64
Males,Arizona,15-19 yrs,Suicide Injury,2013,29,231796,12.51
Males,Arizona,15-19 yrs,Suicide Injury,2014,41,232550,17.63
Males,Arizona,15-19 yrs,Suicide Injury,2015,49,235522,20.8
Males,Arizona,15-19 yrs,Suicide Injury,2016,43,238351,18.04
Males,Arizona,15-19 yrs,Suicide Injury,2017,50,238976,20.92
Males,Arizona,20-24 yrs,Suicide Injury,2013,69,251148,27.47
Males,Arizona,20-24 yrs,Suicide Injury,2014,76,254059,29.91
Males,Arizona,20-24 yrs,Suicide Injury,2015,67,253434,26.44
Males,Arizona,20-24 yrs,Suicide Injury,2016,75,252882,29.66
Males,Arizona,20-24 yrs,Suicide Injury,2017,80,252422,31.69
Males,Arizona,25-29 yrs,Suicide Injury,2013,81,229530,35.29
Males,Arizona,25-29 yrs,Suicide Injury,2014,72,234848,30.66
Males,Arizona,25-29 yrs,Suicide Injury,2015,81,242348,33.42
Males,Arizona,25-29 yrs,Suicide Injury,2016,89,251166,35.43
Males,Arizona,25-29 yrs,Suicide Injury,2017,101,259518,38.92
Males,Arizona,30-34 yrs,Suicide Injury,2013,53,226085,23.44
Males,Arizona,30-34 yrs,Suicide Injury,2014,70,229233,30.54
Males,Arizona,30-34 yrs,Suicide Injury,2015,85,230404,36.89
Males,Arizona,30-34 yrs,Suicide Injury,2016,71,233109,30.46
Males,Arizona,30-34 yrs,Suicide Injury,2017,85,235679,36.07
Males,Arizona,35-39 yrs,Suicide Injury,2013,84,206344,40.71
Males,Arizona,35-39 yrs,Suicide Injury,2014,70,208964,33.5
Males,Arizona,35-39 yrs,Suicide Injury,2015,61,214243,28.47
Males,Arizona,35-39 yrs,Suicide Injury,2016,69,220060,31.36
Males,Arizona,35-39 yrs,Suicide Injury,2017,73,226245,32.27
